Name,Cluster ID,Count,Total Area,Average Size,%Area,Perim.,Major,Minor,Angle,Circ.,Solidity,Feret,FeretX,FeretY,FeretAngle,MinFeret
Yasuhikotakia_modesta_P_22,1,13,332975,25613.461538462,69.123682555,670.185358488,185.567062965,52.261365377,107.747734015,0.595810581,0.830134749,224.039580932,663.538461538,202.538461538,120.097544743,68.94360755
Yasuhikotakia_modesta_P_22,2,18,290259,16125.5,60.256088219,494.62723679,93.095420334,31.536681467,110.309089485,0.604658459,0.778807696,105.250778331,688.611111111,229.277777778,104.883237627,38.969191207
Yasuhikotakia_modesta_P_22,3,1,480413,480413.0,99.730957902,3307.941162109,1431.473022461,427.308685303,0.00719991,0.551707745,0.997309566,1326.303833008,0.0,0.0,163.3959198,379.0
Yasuhikotakia_modesta_P_22,4,1,480321,480321.0,99.711859235,3297.656738281,1431.258789062,427.290802002,0.038418815,0.555047989,0.997118592,1326.303833008,0.0,0.0,163.3959198,379.0
Yasuhikotakia_modesta_P_22,5,1,480967,480967.0,99.845965095,3297.656738281,1432.622192383,427.458251953,0.01866911,0.555794477,0.998459637,1326.303833008,0.0,0.0,163.3959198,379.0
Yasuhikotakia_modesta_P_23,1,4,126020,31505.0,28.612426721,1638.788160324,253.456565857,97.850358009,98.656291008,0.412095549,0.620828144,527.132056236,680.25,114.5,92.201240063,166.369464874
Yasuhikotakia_modesta_P_23,2,1,429105,429105.0,97.426879606,4772.513671875,1401.572631836,389.814605713,179.603744507,0.236744031,0.974268794,1309.368164062,0.0,0.0,164.541473389,349.0
Yasuhikotakia_modesta_P_23,3,1,439790,439790.0,99.85287373,3219.656738281,1422.437133789,393.661010742,179.979568481,0.533133566,0.998528719,1309.368164062,0.0,0.0,164.541473389,349.0
Yasuhikotakia_modesta_P_23,4,1,439610,439610.0,99.812005322,3219.656738281,1421.75390625,393.688964844,0.018647008,0.532915354,0.99812007,1309.368164062,0.0,0.0,164.541473389,349.0
Yasuhikotakia_modesta_P_24,1,15,291064,19404.266666667,55.323581291,688.31206131,139.470253817,48.858030923,116.18330485,0.562588769,0.783843321,195.601530838,309.066666667,218.4,104.76975619,65.530313746
Yasuhikotakia_modesta_P_24,2,11,373668,33969.818181818,71.024420656,370.468295704,134.839618596,47.0865635,91.56041749,0.726977378,0.861937853,146.596418554,730.090909091,201.909090909,118.952849822,50.553610802
Yasuhikotakia_modesta_P_24,3,1,524498,524498.0,99.693221215,3423.656738281,1476.580078125,452.269104004,0.034776378,0.562306702,0.996932209,1371.912841797,0.0,0.0,163.004745483,401.0
Yasuhikotakia_modesta_P_24,4,1,525444,525444.0,99.873030838,3423.656738281,1478.946289062,452.359954834,0.012530328,0.563320875,0.998730302,1371.912841797,0.0,0.0,163.004745483,401.0
Yasuhikotakia_modesta_P_25,1,18,281241,15624.5,44.990209817,569.307214631,138.5924032,47.674870915,91.834579998,0.611647839,0.789339802,207.825705687,714.944444444,230.777777778,102.286275334,74.731996616
Yasuhikotakia_modesta_P_25,2,1,623256,623256.0,99.702455224,3667.656738281,1557.978393555,509.348632812,0.079240829,0.582235873,0.997024536,1454.989013672,0.0,0.0,161.901275635,452.0
Yasuhikotakia_modesta_P_25,3,2,623678,311839.0,99.769962695,1879.869998932,794.062776566,268.149231911,0.88717514,0.77118066,0.985549569,743.47105217,561.5,146.5,91.018789291,239.0
Yasuhikotakia_modesta_P_25,4,1,624759,624759.0,99.9428906,3667.656738281,1560.223388672,509.842285156,0.019477503,0.58363992,0.999428928,1454.989013672,0.0,0.0,161.901275635,452.0
Yasuhikotakia_modesta_P_25,5,1,623794,623794.0,99.788519251,3667.656738281,1558.634887695,509.573608398,179.99331665,0.582738459,0.997885168,1454.989013672,0.0,0.0,161.901275635,452.0
Yasuhikotakia_modesta_P_25,6,3,526419,175473.0,84.211410362,1241.475430806,490.415514946,159.110887845,106.971584757,0.80275928,0.880323549,492.168680191,474.666666667,248.666666667,155.150644938,156.314653397
Yasuhikotakia_modesta_P_26,1,5,367069,73413.8,76.289613262,1409.618006897,258.840722084,86.039471817,64.156015771,0.654181661,0.857078195,278.457780457,841.2,216.6,98.679782486,87.202583504
Yasuhikotakia_modesta_P_26,2,3,395228,131742.666666667,82.142025805,2911.321997643,424.071406682,138.092528701,103.150437514,0.578288863,0.823129137,443.605977376,307.0,71.0,158.260574341,132.652682463
Yasuhikotakia_modesta_P_26,3,2,439132,219566.0,91.26679303,1697.526855469,708.417047501,219.236427307,1.564954355,0.706499457,0.935997009,676.922616959,500.5,127.5,162.054199219,208.439899445
Yasuhikotakia_modesta_P_26,4,2,370025,185012.5,76.903972134,3289.751457214,680.235938072,181.307144165,103.043675423,0.325267404,0.773301125,670.025259972,17.5,115.0,95.631159782,197.411764622
Yasuhikotakia_modesta_P_26,5,1,481036,481036.0,99.975891194,3271.656738281,1413.621704102,433.265869141,0.003233018,0.564744413,0.999758899,1310.520874023,0.0,0.0,162.96156311,384.0
Yasuhikotakia_modesta_P_26,6,1,481066,481066.0,99.98212623,3271.656738281,1413.68359375,433.273925781,0.002390853,0.564779639,0.999821246,1310.520874023,0.0,0.0,162.96156311,384.0
Yasuhikotakia_modesta_P_26,7,1,480454,480454.0,99.854931498,3271.656738281,1412.435913086,433.104980469,0.019691193,0.564061165,0.998549342,1310.520874023,0.0,0.0,162.96156311,384.0
Yasuhikotakia_modesta_P_27,1,11,327625,29784.090909091,66.316822865,754.251204577,127.398388429,45.526423107,97.196278128,0.74010931,0.856088248,142.686022412,784.818181818,213.909090909,122.194807399,49.90220382
Yasuhikotakia_modesta_P_27,2,8,320692,40086.5,64.913466794,1036.972309589,239.365953207,57.743121028,119.645355701,0.574329859,0.773965567,313.769785881,448.125,157.5,121.161385536,84.788860559
Yasuhikotakia_modesta_P_27,3,1,486301,486301.0,98.43552011,3520.877197266,1417.390869141,436.843261719,179.802886963,0.492961794,0.984355211,1328.239868164,0.0,0.0,162.970214844,389.0
