FullClipName,ClipName,mean_direction,mean_magnitude,real_direction
bg_Botia_lohachata_P_2_4_L,Botia_lohachata_P_2_4,326.0926814803943,0.0018277508530868268,270
bg_Botia_lohachata_P_2_5_L,Botia_lohachata_P_2_5,38.29593395184346,0.0022267426396359144,90
bg_Botia_lohachata_P_2_6_L,Botia_lohachata_P_2_6,307.74439525607045,0.0014968607409916752,270
bg_Botia_lohachata_P_2_7_L,Botia_lohachata_P_2_7,291.5413401189265,0.0014399855203463948,270
bg_Botia_lohachata_P_2_8_L,Botia_lohachata_P_2_8,50.05461924557343,0.0016118644354405523,90
bg_Botia_lohachata_P_2_9_L,Botia_lohachata_P_2_9,306.4939940116511,0.0013679747048657121,270
bg_Botia_lohachata_P_2_9a_L,Botia_lohachata_P_2_9a,320.7963110186561,0.001518310963196808,270
bg_Botia_lohachata_P_3_1_L,Botia_lohachata_P_3_1,310.1642409838252,8.841230451545281e-4,270
bg_Botia_lohachata_P_3_2_L,Botia_lohachata_P_3_2,80.60907219907854,7.322975519238442e-4,90
bg_Botia_lohachata_P_3_3_L,Botia_lohachata_P_3_3,63.2042435715361,0.0013295546877096355,90
bg_Botia_lohachata_P_3_4_L,Botia_lohachata_P_3_4,289.2822709327699,0.00123973240092446,270
bg_Botia_lohachata_P_3_5_L,Botia_lohachata_P_3_5,46.5831921334986,0.0027568947863015956,90
bg_Botia_lohachata_P_4_1_L,Botia_lohachata_P_4_1,70.33771931641667,8.493010217395544e-4,90
bg_Botia_lohachata_P_5_1_L,Botia_lohachata_P_5_1,82.2758311687811,0.0012057039200552573,90
bg_Botia_lohachata_P_6_1_L,Botia_lohachata_P_6_1,245.5440238329423,0.0012972356430932235,270
bg_Botia_lohachata_P_6_2_L,Botia_lohachata_P_6_2,267.41923756307705,0.0011378178915015106,270
bg_Botia_lohachata_P_6_3_L,Botia_lohachata_P_6_3,264.4720818303087,0.0012164188951289002,270
bg_Botia_lohachata_P_6_4_L,Botia_lohachata_P_6_4,252.6631080122753,0.0012042797865405772,270
bg_Botia_lohachata_P_6_5_L,Botia_lohachata_P_6_5,62.91984844418979,0.0011900921330414282,90
bg_Botia_lohachata_P_6_6_L,Botia_lohachata_P_6_6,281.2044555389907,0.0014482651102217423,270
bg_Botia_lohachata_P_6_7_L,Botia_lohachata_P_6_7,87.40121887348937,0.0011624973519685567,90
bg_Botia_lohachata_P_7_10_L,Botia_lohachata_P_7_10,297.9590509857052,0.0018274556995436454,270
bg_Botia_lohachata_P_7_1_L,Botia_lohachata_P_7_1,91.68928824056555,0.0021444794049612055,90
bg_Botia_lohachata_P_7_2_L,Botia_lohachata_P_7_2,274.195489256012,0.001995547716255975,270
bg_Botia_lohachata_P_7_3_L,Botia_lohachata_P_7_3,279.67257152824175,8.436915864012194e-4,270
bg_Botia_lohachata_P_7_4_L,Botia_lohachata_P_7_4,308.346906298687,0.0028162105352624238,270
bg_Botia_lohachata_P_7_4a_L,Botia_lohachata_P_7_4a,334.74671673866357,0.0034588847545871755,270
bg_Botia_lohachata_P_7_5_L,Botia_lohachata_P_7_5,292.01351549679987,0.0012281328762925718,270
bg_Botia_lohachata_P_7_6_L,Botia_lohachata_P_7_6,314.7823208231748,0.0022085749789953557,270
bg_Botia_lohachata_P_7_7_L,Botia_lohachata_P_7_7,304.7915210389673,0.0020357435675601655,270
bg_Botia_lohachata_P_7_8_L,Botia_lohachata_P_7_8,298.4786235048092,0.0021632017853469732,270
bg_Botia_lohachata_P_7_9_L,Botia_lohachata_P_7_9,288.5502604672444,0.0014163167019062405,270
bg_Botia_lohachata_P_8_1_L,Botia_lohachata_P_8_1,324.6250515083672,0.002112677072332363,270
bg_Botia_lohachata_P_8_2_L,Botia_lohachata_P_8_2,35.39507389509473,0.0021552150087533655,90
bg_Botia_lohachata_P_8_3_L,Botia_lohachata_P_8_3,330.8391174922491,0.0028710373796312517,270
bg_Botia_lohachata_P_8_4_L,Botia_lohachata_P_8_4,53.990653286566136,0.004065761536612618,90
bg_Botia_lohachata_P_8_5_L,Botia_lohachata_P_8_5,305.2279774139194,0.0038758777437960285,270
bg_Botia_lohachata_P_8_6_L,Botia_lohachata_P_8_6,61.820144737090885,0.0023108724919013823,90
bg_Botia_lohachata_P_9_1_L,Botia_lohachata_P_9_1,304.4596924125098,0.00233334135901986,270
bg_Yasuhikotakia_modesta_C_10_1_L,Yasuhikotakia_modesta_C_10_1,261.5138687212014,0.0027512454531946296,270
bg_Yasuhikotakia_modesta_C_1_1_L,Yasuhikotakia_modesta_C_1_1,121.08371534402913,0.002502996957328949,90
bg_Yasuhikotakia_modesta_C_1_2_L,Yasuhikotakia_modesta_C_1_2,123.05376130219247,0.001947386494574529,90
bg_Yasuhikotakia_modesta_C_2_1_L,Yasuhikotakia_modesta_C_2_1,63.779739637307785,0.0062630085747617265,90
bg_Yasuhikotakia_modesta_C_2_2_L,Yasuhikotakia_modesta_C_2_2,277.16910781315806,0.0053217356203040765,270
bg_Yasuhikotakia_modesta_C_2_3_L,Yasuhikotakia_modesta_C_2_3,70.300801459184,0.006750398728693425,90
bg_Yasuhikotakia_modesta_C_2_4_L,Yasuhikotakia_modesta_C_2_4,286.0674316886915,0.007569246675060891,270
bg_Yasuhikotakia_modesta_C_3_1_L,Yasuhikotakia_modesta_C_3_1,64.17334172584839,0.007034583889979127,90
bg_Yasuhikotakia_modesta_C_3_2_L,Yasuhikotakia_modesta_C_3_2,74.51206739250546,0.007143320578014872,90
bg_Yasuhikotakia_modesta_C_3_3_L,Yasuhikotakia_modesta_C_3_3,292.5997821988847,0.009332264888529193,270
bg_Yasuhikotakia_modesta_C_3_4_L,Yasuhikotakia_modesta_C_3_4,68.78904948699372,0.00873406500597132,90
bg_Yasuhikotakia_modesta_C_4_1_L,Yasuhikotakia_modesta_C_4_1,90.12351090357815,0.002685035042975572,90
bg_Yasuhikotakia_modesta_C_4_2_L,Yasuhikotakia_modesta_C_4_2,93.99951423320138,0.0034202112587630802,90
bg_Yasuhikotakia_modesta_C_4_3_L,Yasuhikotakia_modesta_C_4_3,279.6390726113554,0.003629631886681109,270
bg_Yasuhikotakia_modesta_C_4_4_L,Yasuhikotakia_modesta_C_4_4,246.63636286941664,0.003216073435779085,270
bg_Yasuhikotakia_modesta_C_4_5_L,Yasuhikotakia_modesta_C_4_5,91.62375774650387,0.0026358114930716335,90
bg_Yasuhikotakia_modesta_C_4_6_L,Yasuhikotakia_modesta_C_4_6,273.3497916013983,0.0034943179847090207,270
bg_Yasuhikotakia_modesta_C_5_1_L,Yasuhikotakia_modesta_C_5_1,290.89391688235736,0.006582274275681985,270
bg_Yasuhikotakia_modesta_C_5_2_L,Yasuhikotakia_modesta_C_5_2,265.6372907332338,0.006185494814886255,270
bg_Yasuhikotakia_modesta_C_5_2a_L,Yasuhikotakia_modesta_C_5_2a,268.45033903651336,0.006220627436703704,270
bg_Yasuhikotakia_modesta_C_5_3_L,Yasuhikotakia_modesta_C_5_3,68.1500961505497,0.006306019512882553,90
bg_Yasuhikotakia_modesta_C_6_1_L,Yasuhikotakia_modesta_C_6_1,75.67014620049667,0.00417307928515523,90
bg_Yasuhikotakia_modesta_C_7_1_L,Yasuhikotakia_modesta_C_7_1,286.30354489191586,0.003624070847550042,270
bg_Yasuhikotakia_modesta_C_7_2_L,Yasuhikotakia_modesta_C_7_2,68.63239972865958,0.004171895348894094,90
bg_Yasuhikotakia_modesta_C_7_3_L,Yasuhikotakia_modesta_C_7_3,70.19903642687498,0.0036612528974504896,90
bg_Yasuhikotakia_modesta_C_8_1_L,Yasuhikotakia_modesta_C_8_1,75.16881706237662,0.004328524598961974,90
bg_Yasuhikotakia_modesta_C_8_2_L,Yasuhikotakia_modesta_C_8_2,285.83949533623803,0.004987052645862545,270
bg_Yasuhikotakia_modesta_C_8_3_L,Yasuhikotakia_modesta_C_8_3,297.89825153576476,0.007868858044951925,270
bg_Yasuhikotakia_modesta_C_9_1_L,Yasuhikotakia_modesta_C_9_1,96.98276610098956,0.004997546452788533,90
bg_Yasuhikotakia_modesta_C_9_2_L,Yasuhikotakia_modesta_C_9_2,119.09214923661618,0.0038767460287327886,90
bg_Yasuhikotakia_modesta_P_10_1_L,Yasuhikotakia_modesta_P_10_1,73.37384687044114,0.0014060506924023493,90
bg_Yasuhikotakia_modesta_P_10_2_L,Yasuhikotakia_modesta_P_10_2,303.3015913205716,0.001179858096273684,270
bg_Yasuhikotakia_modesta_P_10_3_L,Yasuhikotakia_modesta_P_10_3,287.75727281297185,8.740753625281581e-4,270
bg_Yasuhikotakia_modesta_P_1_1_L,Yasuhikotakia_modesta_P_1_1,236.42143237237286,0.005731040041254521,270
bg_Yasuhikotakia_modesta_P_1_1a_L,Yasuhikotakia_modesta_P_1_1a,236.99098309755033,0.005735136187265364,270
bg_Yasuhikotakia_modesta_P_2_1_L,Yasuhikotakia_modesta_P_2_1,106.55721265297188,0.0036714858014004867,90
bg_Yasuhikotakia_modesta_P_3_1_L,Yasuhikotakia_modesta_P_3_1,78.88169014525762,0.004539615564718358,90
bg_Yasuhikotakia_modesta_P_3_2_L,Yasuhikotakia_modesta_P_3_2,94.3318089616766,0.003884460896137245,90
bg_Yasuhikotakia_modesta_P_3_3_L,Yasuhikotakia_modesta_P_3_3,278.5216934551902,0.008029695543946046,270
bg_Yasuhikotakia_modesta_P_3_4_L,Yasuhikotakia_modesta_P_3_4,86.30341210001804,0.004548411057828485,90
bg_Yasuhikotakia_modesta_P_4_1_L,Yasuhikotakia_modesta_P_4_1,91.00657604626319,0.005227998354038616,90
