Name, ,Image,Pass,ClusterID,lw_mean,lw_sd,mw_mean,mw_sd,sw_mean,sw_sd,lum_mean,lum_sd,Area,Coverage (pc),RNL X,RNL Y,RNL Saturation,Dmax Chromaticity,Dmax channel
Yasuhikotakia_modesta_P_22,1,Yasuhikotakia_modesta_P_22_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,7,1,0.197183698,0.043606262,0.164087776,0.033724021,0.139652526,0.026413109,0.179743153,0.038249315,13421,100.0,2.121594124,-1.662610367,2.695447061,0.17079865,lw:sw
Yasuhikotakia_modesta_P_23,1,Yasuhikotakia_modesta_P_23_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,7,1,0.159459183,0.035979659,0.148571409,0.029829487,0.138523473,0.025931623,0.15372154,0.032491475,12775,100.0,0.816635639,-0.686611969,1.066925378,0.070258149,lw:sw
Yasuhikotakia_modesta_P_24,1,Yasuhikotakia_modesta_P_24_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,1,0.164361835,0.027816537,0.144010949,0.022663625,0.124508103,0.017996606,0.153637543,0.024942603,7874,51.329856873,1.526304218,-1.369069473,2.050355039,0.137964275,lw:sw
Yasuhikotakia_modesta_P_24,2,Yasuhikotakia_modesta_P_24_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,2,0.10970241,0.01000828,0.097537694,0.010327927,0.087677488,0.012217069,0.103291979,0.009886096,7466,48.670143127,1.357156216,-1.083637339,1.736704603,0.111586448,lw:sw
Yasuhikotakia_modesta_P_25,1,Yasuhikotakia_modesta_P_25_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,7,1,0.379680507,0.107749435,0.37343592,0.113350975,0.346633528,0.108652314,0.376389792,0.10984148,17457,100.0,0.191493335,-0.501210189,0.536545758,0.045499574,lw:sw
Yasuhikotakia_modesta_P_26,1,Yasuhikotakia_modesta_P_26_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,1,0.574675737,0.059278336,0.443934661,0.045203885,0.33884245,0.037755896,0.505779207,0.051219036,2100,15.126413345,2.980630848,-2.59134871,3.949588382,0.258159377,lw:sw
Yasuhikotakia_modesta_P_26,2,Yasuhikotakia_modesta_P_26_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,2,0.394531745,0.04488414,0.303517883,0.034884573,0.233417216,0.028169799,0.34657022,0.038468261,3404,24.519195557,3.028326303,-2.563365795,3.967569079,0.25657265,lw:sw
Yasuhikotakia_modesta_P_26,3,Yasuhikotakia_modesta_P_26_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,3,0.245067283,0.05201024,0.200550108,0.041176978,0.16774434,0.03445461,0.2216081,0.045964492,8379,60.354389191,2.314827546,-1.82981999,2.950706316,0.187308058,lw:sw
Yasuhikotakia_modesta_P_27,1,Yasuhikotakia_modesta_P_27_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,1,0.513083606,0.030903366,0.449791555,0.023534749,0.38767546,0.03017707,0.479730637,0.023576291,2971,22.081010818,1.520225429,-1.385161776,2.056637669,0.139224961,lw:sw
Yasuhikotakia_modesta_P_27,2,Yasuhikotakia_modesta_P_27_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,2,0.348947884,0.079162414,0.316699842,0.066723236,0.282545486,0.056855299,0.331954154,0.072006166,10484,77.918991089,1.119698642,-1.04749264,1.533285974,0.105151378,lw:sw
Yasuhikotakia_modesta_P_28,1,Yasuhikotakia_modesta_P_28_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,1,0.66743497,0.064068162,0.536493683,0.045006614,0.437459611,0.040661803,0.598432911,0.052978807,2201,13.306329727,2.521733995,-2.048933939,3.24919569,0.208142354,lw:sw
Yasuhikotakia_modesta_P_28,2,Yasuhikotakia_modesta_P_28_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,2,0.356177009,0.112747111,0.290209702,0.085491545,0.243828727,0.067011475,0.321414257,0.098118636,14209,85.901695251,2.365119565,-1.820551028,2.984660216,0.187245347,lw:sw
Yasuhikotakia_modesta_P_28,3,Yasuhikotakia_modesta_P_28_Sony_A7_28_to_70mm_D65_to_Pike_Cichlid_Crenicichla_frenata_D65_Acuity8.08_Dist550_FishOutline_WeberFiltered_itr5_rad5_fall3,20,3,0.139726317,0.009675404,0.115403095,0.009072451,0.100567248,0.009375271,0.126908727,0.009203948,131,0.791971445,2.208430372,-1.553465272,2.700077602,0.162963453,lw:sw
